file,type,label_type,negative,neutral,positive,total_samples
split_2160_dev_normal.csv,dev,normal,0.625,0.21296296296296297,0.16203703703703703,216
split_2160_dev_swapped.csv,dev,swapped,0.625,0.21296296296296297,0.16203703703703703,216
split_2160_test_normal.csv,test,normal,0.6296296296296297,0.20833333333333334,0.16203703703703703,216
split_2160_test_swapped.csv,test,swapped,0.6296296296296297,0.20833333333333334,0.16203703703703703,216
split_2160_train_normal.csv,train,normal,0.6270990156340475,0.2119281991893457,0.16097278517660682,1727
split_2160_train_swapped.csv,train,swapped,0.6270990156340475,0.2119281991893457,0.16097278517660682,1727
split_4160_dev_normal.csv,dev,normal,0.6274038461538461,0.21153846153846154,0.16105769230769232,416
split_4160_dev_swapped.csv,dev,swapped,0.6274038461538461,0.21153846153846154,0.16105769230769232,416
split_4160_test_normal.csv,test,normal,0.6274038461538461,0.21153846153846154,0.16105769230769232,416
split_4160_test_swapped.csv,test,swapped,0.6274038461538461,0.21153846153846154,0.16105769230769232,416
split_4160_train_normal.csv,train,normal,0.6268791340950091,0.211665664461816,0.161455201443175,3326
split_4160_train_swapped.csv,train,swapped,0.6268791340950091,0.211665664461816,0.161455201443175,3326
split_8320_dev_normal.csv,dev,normal,0.6262019230769231,0.21153846153846154,0.1622596153846154,832
split_8320_dev_swapped.csv,dev,swapped,0.6262019230769231,0.21153846153846154,0.1622596153846154,832
split_8320_test_normal.csv,test,normal,0.6274038461538461,0.21153846153846154,0.16105769230769232,832
split_8320_test_swapped.csv,test,swapped,0.6274038461538461,0.21153846153846154,0.16105769230769232,832
split_8320_train_normal.csv,train,normal,0.6269912834385332,0.2117523294259092,0.16125638713555757,6654
split_8320_train_swapped.csv,train,swapped,0.6269912834385332,0.2117523294259092,0.16125638713555757,6654
